,Title,Published_date,Views,Likes,Favorites,Comments,Month
241,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,7056,284,0,26,Nov
242,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46981,1754,0,79,Nov
243,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,6031,139,0,31,Nov
244,Why Selling Is An Important Data Science Skill,2019-11-04,1695,80,0,13,Nov
245,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,3193,74,0,18,Oct
246,Why is Balance Important in Data Science?,2019-10-16,738,34,0,13,Oct
247,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,12134,583,0,55,Sep
248,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,4541,122,0,35,Sep
249,6 Habits of Successful Data Scientists,2019-09-13,2301,98,0,17,Sep
250,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,5295,110,0,10,Sep
251,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,527,23,0,29,Aug
252,Is Data Science Right For You?,2019-08-18,53368,1206,0,109,Aug
253,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15464,397,0,55,Aug
254,How To Get Data Science Experience (Without a Job),2019-08-08,30080,1390,0,77,Aug
255,Take Your Data Science Projects From Good to Great,2019-08-05,1662,110,0,11,Aug
256,The Projects You Should Do To Get A Data Science Job,2019-07-30,157112,5783,0,250,Jul
257,What Does a Data Scientist Actually Do?,2019-07-19,55795,1355,0,80,Jul
258,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13535,359,0,44,Jul
259,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18822,543,0,61,Jul
260,Data Science: Pros and Cons,2019-06-30,5760,231,0,18,Jun
261,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,26710,1253,0,89,Jun
262,My Top 5 Data Science Internship Tips,2019-06-15,12365,505,0,24,Jun
263,Golf STATS: Strokes Gained Explained,2019-06-07,8510,168,0,32,Jun
264,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,629,44,0,5,May
265,What I Learned From My Three Degrees,2019-05-17,1310,60,0,12,May
266,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25724,1062,0,66,May
267,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1284,39,0,2,May
268,Should You Learn R for Data Science?,2019-04-25,22548,574,0,72,Apr
269,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46799,846,0,321,Apr
270,Work From Home Data Scientist: Day in the Life,2019-04-12,28372,755,0,101,Apr
271,Where to Look for Data Science Jobs,2019-03-29,3053,116,0,9,Mar
272,Data Science: Startup vs. Large Corporation,2019-03-21,2417,76,0,4,Mar
273,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6508,172,0,26,Mar
274,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4316,180,0,15,Mar
275,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,839,32,0,12,Mar
276,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1584,33,0,8,Mar
277,Where YOU Should Start With Data Science Projects,2019-02-19,18957,371,0,20,Feb
278,Watch This Before Applying to Data Science Jobs,2019-02-04,1535,64,0,13,Feb
279,My Top 5 Data Science Resources for 2019,2019-01-05,3790,120,0,15,Jan
280,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,861,34,0,6,Dec
281,The Best Way to Predict NBA Minutes Played,2018-12-11,5536,126,0,15,Dec
282,Demystifying Data Science Roles,2018-11-30,1171,52,0,5,Nov
283,How to Simulate NBA Games in Python,2018-11-19,18971,415,0,50,Nov
284,Should You Get A Masters in Data Science?,2018-11-14,20903,303,0,133,Nov
285,How I Became A Data Scientist From a Business Background,2018-11-12,6665,198,0,23,Nov
286,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,9324,195,0,17,Jul
287,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19535,296,0,41,Nov
288,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,5295,110,0,10,Sep
289,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,527,23,0,29,Aug
290,Is Data Science Right For You?,2019-08-18,53368,1206,0,109,Aug
291,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15464,397,0,55,Aug
292,How To Get Data Science Experience (Without a Job),2019-08-08,30080,1390,0,77,Aug
293,Take Your Data Science Projects From Good to Great,2019-08-05,1662,110,0,11,Aug
294,The Projects You Should Do To Get A Data Science Job,2019-07-30,157112,5783,0,250,Jul
295,What Does a Data Scientist Actually Do?,2019-07-19,55795,1355,0,80,Jul
296,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13535,359,0,44,Jul
297,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18822,543,0,61,Jul
298,Data Science: Pros and Cons,2019-06-30,5760,231,0,18,Jun
299,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,26710,1253,0,89,Jun
300,My Top 5 Data Science Internship Tips,2019-06-15,12365,505,0,24,Jun
